[08:00][INFORMATION]: opened
[08:01][INFORMATION]: application 4 received
[08:02][INFORMATION]: application 5 received
[08:02][INFORMATION]: application 7 received
[08:05][INFORMATION]: application 10 received
[08:18][INFORMATION]: application received
[08:25][INFORMATION]: application 24 received
[08:25][INFORMATION]: application received
[08:29][INFORMATION]: application received
[08:30][INFORMATION]: application received
[08:34][INFORMATION]: application received
[08:34][INFORMATION]: application received
[08:34][INFORMATION]: application 34 received
[08:34][INFORMATION]: 		department is overloaded. Overload time: 140
[08:34][INFORMATION]: application received
[08:35][INFORMATION]: application received
[08:36][INFORMATION]: application received
[08:41][INFORMATION]: application received
[08:41][INFORMATION]: application received
[08:41][INFORMATION]: application received
[08:41][INFORMATION]: application received
[08:41][INFORMATION]: application received
[08:41][INFORMATION]: application received
[08:42][INFORMATION]: application received
[08:43][INFORMATION]: application received
[08:43][INFORMATION]: application received
[08:43][INFORMATION]: application received
[08:43][INFORMATION]: application received
[08:48][INFORMATION]: application received
[08:48][INFORMATION]: application received
[08:48][INFORMATION]: application received
[08:49][INFORMATION]: application received
[08:53][INFORMATION]: worker 0 has come to work
[08:56][INFORMATION]: worker 1 has come to work
[09:00][INFORMATION]: worker 2 has come to work
[09:03][INFORMATION]: worker 3 has come to work
[09:06][INFORMATION]: worker 4 has come to work
[09:09][INFORMATION]: worker 5 has come to work
[09:13][INFORMATION]: worker 6 has come to work
[09:16][INFORMATION]: worker 7 has come to work
[09:19][INFORMATION]: worker 8 has come to work
[09:22][INFORMATION]: worker 9 has come to work
[09:22][INFORMATION]: application received
[09:23][INFORMATION]: application received
[09:26][INFORMATION]: worker 10 has come to work
[09:29][INFORMATION]: worker 11 has come to work
[09:32][INFORMATION]: worker 12 has come to work
[09:33][INFORMATION]: application received
[09:33][INFORMATION]: application received
[09:33][INFORMATION]: application received
[09:33][INFORMATION]: application received
[09:35][INFORMATION]: worker 13 has come to work
[09:38][INFORMATION]: application received
[09:39][INFORMATION]: worker 14 has come to work
[09:39][INFORMATION]: application received
[09:40][INFORMATION]: application received
[09:40][INFORMATION]: application received
[09:41][INFORMATION]: application received
[09:41][INFORMATION]: application received
[09:42][INFORMATION]: worker 15 has come to work
[09:44][INFORMATION]: application received
[09:45][INFORMATION]: worker 16 has come to work
[09:46][INFORMATION]: application received
[09:46][INFORMATION]: application received
[09:46][INFORMATION]: application received
[09:48][INFORMATION]: worker 17 has come to work
[09:48][INFORMATION]: application received
[09:48][INFORMATION]: application received
[09:52][INFORMATION]: worker 18 has come to work
[09:55][INFORMATION]: worker 19 has come to work
[09:57][INFORMATION]: application received
[10:53][INFORMATION]: 		dep returned to normal work
[10:54][INFORMATION]: application 163 received
[10:54][INFORMATION]: worker 0 started app 115
[10:54][INFORMATION]: worker 1 started app 121
[10:54][INFORMATION]: worker 2 started app 3
[10:54][INFORMATION]: worker 3 started app 45
[10:54][INFORMATION]: worker 4 started app 22
[10:54][INFORMATION]: worker 5 started app 49
[10:54][INFORMATION]: worker 6 started app 17
[10:54][INFORMATION]: worker 7 started app 52
[10:54][INFORMATION]: worker 8 started app 46
[10:54][INFORMATION]: worker 9 started app 163
[10:54][INFORMATION]: worker 10 started app 11
[10:54][INFORMATION]: worker 11 started app 51
[10:54][INFORMATION]: worker 12 started app 92
[10:54][INFORMATION]: worker 13 started app 107
[10:54][INFORMATION]: worker 14 started app 16
[10:54][INFORMATION]: worker 15 started app 39
[10:54][INFORMATION]: worker 16 started app 2
[10:54][INFORMATION]: worker 17 started app 15
[10:54][INFORMATION]: worker 18 started app 24
[10:54][INFORMATION]: worker 19 started app 30
[10:54][INFORMATION]: worker 5 finished app 49
[10:54][INFORMATION]: worker 8 finished app 46
[10:54][INFORMATION]: worker 9 finished app 163
[10:55][INFORMATION]: worker 5 started app 94
[10:55][INFORMATION]: worker 8 started app 108
[10:55][INFORMATION]: worker 9 started app 116
[10:56][INFORMATION]: worker 3 finished app 45
[10:56][INFORMATION]: worker 12 finished app 92
[10:57][INFORMATION]: worker 3 started app 1
[10:57][INFORMATION]: worker 12 started app 5
[10:57][INFORMATION]: worker 9 finished app 116
[10:58][INFORMATION]: worker 9 started app 7
[10:58][INFORMATION]: worker 0 finished app 115
[10:58][INFORMATION]: worker 13 finished app 107
[10:58][INFORMATION]: worker 17 finished app 15
[10:58][INFORMATION]: worker 19 finished app 30
[10:59][INFORMATION]: worker 0 started app 79
[10:59][INFORMATION]: worker 13 started app 96
[10:59][INFORMATION]: worker 17 started app 37
[10:59][INFORMATION]: worker 19 started app 104
[10:59][INFORMATION]: worker 3 finished app 1
[10:59][INFORMATION]: worker 8 finished app 108
[10:59][INFORMATION]: worker 19 finished app 104
[11:00][INFORMATION]: worker 3 started app 29
[11:00][INFORMATION]: worker 8 started app 89
[11:00][INFORMATION]: worker 19 started app 90
[11:00][INFORMATION]: worker 11 finished app 51
[11:01][INFORMATION]: worker 11 started app 10
[11:01][INFORMATION]: worker 13 finished app 96
[11:02][INFORMATION]: worker 13 started app 87
[11:02][INFORMATION]: worker 7 finished app 52
[11:02][INFORMATION]: worker 14 finished app 16
[11:02][INFORMATION]: worker 18 finished app 24
[11:03][INFORMATION]: worker 7 started app 97
[11:03][INFORMATION]: worker 14 started app 98
[11:03][INFORMATION]: worker 18 started app 13
